FID,FEATURE_ID,LABEL_CENTRE_X,LABEL_CENTRE_Y,BEC_ZONE_CODE,QUAD_DIAM_125,BASAL_AREA,VRI_LIVE_STEMS_PER_HA,SPECIES_CD_1,SPECIES_PCT_1,SPECIES_CD_2,SPECIES_PCT_2,PROJ_AGE_1,PROJ_HEIGHT_1,LIVE_STAND_VOLUME_125,WHOLE_STEM_BIOMASS_PER_HA,BRANCH_BIOMASS_PER_HA,FOLIAGE_BIOMASS_PER_HA,BARK_BIOMASS_PER_HA,OBJECTID,FEATURE_AREA_SQM
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_2826,17960714,1697859,562704,ICH,38.229,40.463432,505,LW,30.1,PLI,29.9,139,25.6,258.863,169.511,19.926,10.861,23.535,2757351,109398.0772
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_2827,17960715,1698417,562945,ICH,36.481,30.443209,273,LW,60,FDI,30,149,25.5,203.007,147.796,17.769,9.874,20.228,1720586,30734.0972
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_2828,17960717,1698175,562334,ICH,39.064,40.440029,506,LW,30.1,PLI,29.9,139,25.6,258.16,167.953,19.774,10.792,23.297,5820998,324583.6157
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_2829,17960718,1698401,563055,ESSF,36.717,20.00001,175,LW,60,FDI,30,149,25.5,135.287,118.325,14.708,8.432,15.803,6594430,37550.3461
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_282a,17960898,1614246,569374,ICH,,,1417,LW,40,FDI,20,19,6.9,,0,0,0,0,3214333,27109.3439
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_282b,17960900,1614099,569329,ICH,,,3533,LW,50,FDI,20,20,7.4,,0,0,0,0,3687154,33690.9258
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_282c,17960901,1614051,569023,ICH,,,3307,LW,40,FDI,20,20,7.4,,0,0,0,0,4632212,205199.7059
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_282d,17960903,1613957,569261,ICH,,,1417,LW,40,FDI,20,19,6.9,,0,0,0,0,2335580,21258.1659
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_282e,17960904,1613545,569290,ICH,,,1417,LW,40,FDI,20,19,6.9,,0,0,0,0,5980364,13984.3329
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_282f,17960905,1613439,569461,ICH,,,3307,LW,40,FDI,20,20,7.4,,0,0,0,0,5980680,40760.4228
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_2830,17960906,1613481,569094,ICH,,,3533,LW,50,FDI,20,20,7.4,,0,0,0,0,1248748,67297.0684
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_2831,17960909,1613617,569421,ICH,,,3533,LW,50,FDI,20,20,7.4,,0,0,0,0,1124655,140699.8194
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_2832,17960911,1613826,568904,ICH,,,1417,LW,40,FDI,20,19,6.9,,0,0,0,0,2835275,31995.4787
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_2833,17960990,1691522,504964,ICH,,,950,LW,70,PL,15,21,5.3,,0,0,0,0,3642613,3479.0087
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_2834,17960995,1691342,504712,ICH,,,950,LW,70,PL,15,21,5.3,,0,0,0,0,3689404,4808.6107
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_2835,17960996,1691470,505149,ICH,,,950,LW,70,PL,15,21,5.3,,0,0,0,0,4733207,3545.1986
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_2836,17960997,1691343,504824,ICH,,,950,LW,70,PL,15,21,5.3,,0,0,0,0,2194549,3058.4067
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_2837,17960999,1691632,505323,ICH,,,950,LW,70,PL,15,21,5.3,,0,0,0,0,5804999,3327.9582
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_2838,17961001,1691563,505214,ICH,,,950,LW,70,PL,15,21,5.3,,0,0,0,0,5303019,3253.9486
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_2839,17961002,1691080,504715,ICH,,,950,LW,70,PL,15,21,5.3,,0,0,0,0,1531844,3651.261
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_283a,17961004,1691232,504961,ICH,,,950,LW,70,PL,15,21,5.3,,0,0,0,0,6338101,4981.4099
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_283b,17961005,1691335,505420,ICH,,,950,LW,70,PL,15,21,5.3,,0,0,0,0,3372340,4034.053
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_283c,17961007,1691842,505379,ICH,,,950,LW,70,PL,15,21,5.3,,0,0,0,0,2349722,6711.1984
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_283d,17961008,1691680,505130,ICH,,,950,LW,70,PL,15,21,5.3,,0,0,0,0,3508502,3758.1242
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_283e,17961011,1691407,504991,ICH,,,950,LW,70,PL,15,21,5.3,,0,0,0,0,2654733,3063.9788
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_283f,17961012,1691795,505067,ICH,,,950,LW,70,PL,15,21,5.3,,0,0,0,0,6157881,3101.6718
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_2840,17961013,1691617,505413,ICH,,,950,LW,70,PL,15,21,5.3,,0,0,0,0,1992651,3523.0622
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_2841,17961015,1690832,504851,ICH,,,950,LW,70,PL,15,21,5.3,,0,0,0,0,5027638,3855.0853
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_2842,17961016,1691536,504752,ICH,,,950,LW,70,PL,15,21,5.3,,0,0,0,0,3144739,3138.4606
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_2843,17961023,1691724,505474,ICH,,,950,LW,70,PL,15,21,5.3,,0,0,0,0,5512285,4529.6593
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_2844,17961025,1692808,505320,ICH,,,2640,LW,60,CW,30,20,7.4,,0,0,0,0,3752169,3985.4951
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_2845,17961027,1692817,505422,ICH,,,2640,LW,60,CW,30,20,7.4,,0,0,0,0,6085769,3002.4689
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_2846,17961028,1692810,505516,ICH,,,2640,LW,60,CW,30,20,7.4,,0,0,0,0,6807505,3230.2804
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_2847,17961029,1693153,505638,ICH,,,2640,LW,60,CW,30,20,7.4,,0,0,0,0,5186821,5016.4716
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_2848,17961031,1692728,505708,ICH,,,2640,LW,60,CW,30,20,7.4,,0,0,0,0,2813134,3515.1773
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_2849,17961032,1692587,505590,ICH,,,2640,LW,60,CW,30,20,7.4,,0,0,0,0,3462140,3302.6742
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_284a,17961033,1692651,506026,ICH,,,2640,LW,60,CW,30,20,7.4,,0,0,0,0,2653659,3531.6497
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_284b,17961034,1692494,505531,ICH,,,2640,LW,60,CW,30,20,7.4,,0,0,0,0,850991,4207.7193
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_284c,17961035,1692670,505634,ICH,,,2640,LW,60,CW,30,20,7.4,,0,0,0,0,4301838,2991.2207
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_284d,17961036,1692942,506055,ICH,,,2640,LW,60,CW,30,20,7.4,,0,0,0,0,6382261,3536.7435
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_284e,17961037,1692597,505477,ICH,,,2640,LW,60,CW,30,20,7.4,,0,0,0,0,3805730,3033.2055
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_284f,17961038,1692921,505346,ICH,,,2640,LW,60,CW,30,20,7.4,,0,0,0,0,2813329,3768.0672
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_2850,17961039,1692510,505409,ICH,,,2640,LW,60,CW,30,20,7.4,,0,0,0,0,3843791,3577.0227
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_2851,17961040,1692742,506013,ICH,,,2640,LW,60,CW,30,20,7.4,,0,0,0,0,3785593,3003.8017
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_2852,17961041,1693077,505493,ICH,,,2640,LW,60,CW,30,20,7.4,,0,0,0,0,1451523,3002.4974
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_2853,17961042,1692583,505833,ICH,,,2640,LW,60,CW,30,20,7.4,,0,0,0,0,4735491,3183.9401
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_2854,17961043,1692644,506151,ICH,,,2640,LW,60,CW,30,20,7.4,,0,0,0,0,4536154,3703.4793
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_2855,17961044,1693278,505593,ICH,29.978,39.489731,630,LW,60,FDI,30,100,27.3,272.65,171.594,20.128,10.953,23.854,4819132,25906.3418
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_2856,17961046,1692806,505887,ICH,,,2640,LW,60,CW,30,20,7.4,,0,0,0,0,1247269,3824.6071
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_2857,17961047,1692713,505446,ICH,,,2640,LW,60,CW,30,20,7.4,,0,0,0,0,4635425,3002.4753
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_2858,17961048,1693179,505553,ICH,,,2640,LW,60,CW,30,20,7.4,,0,0,0,0,5447796,3145.6425
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_2859,17961050,1692835,505739,ICH,,,2640,LW,60,CW,30,20,7.4,,0,0,0,0,4149722,4624.3827
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_285a,17961052,1692948,505607,ICH,,,2640,LW,60,CW,30,20,7.4,,0,0,0,0,669623,3090.9904
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_285b,17961053,1692577,505685,ICH,,,2640,LW,60,CW,30,20,7.4,,0,0,0,0,4235634,3464.7503
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_285c,17961054,1692777,505605,ICH,,,2640,LW,60,CW,30,20,7.4,,0,0,0,0,6301385,3602.968
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_285d,17961056,1692633,505383,ICH,,,2640,LW,60,CW,30,20,7.4,,0,0,0,0,6489795,3227.8114
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_285e,17961058,1693041,505997,ICH,,,2640,LW,60,CW,30,20,7.4,,0,0,0,0,4145311,3759.9654
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_285f,17961060,1693151,505942,ICH,,,2640,LW,60,CW,30,20,7.4,,0,0,0,0,1789856,3736.8299
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_2860,17961061,1692380,505440,ICH,,,2640,LW,60,CW,30,20,7.4,,0,0,0,0,3042580,3891.477
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_2861,17961062,1692618,505922,ICH,,,2640,LW,60,CW,30,20,7.4,,0,0,0,0,2814524,3423.4975
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_2862,17961063,1693036,505679,ICH,,,2640,LW,60,CW,30,20,7.4,,0,0,0,0,1019704,3602.7816
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_2863,17961064,1692383,505537,ICH,,,2640,LW,60,CW,30,20,7.4,,0,0,0,0,4266411,3841.2267
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_2864,17961065,1692963,505520,ICH,,,2640,LW,60,CW,30,20,7.4,,0,0,0,0,6466844,3002.2568
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_2865,17961067,1692861,505640,ICH,,,2640,LW,60,CW,30,20,7.4,,0,0,0,0,5162548,3252.6838
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_2866,17961068,1693057,505580,ICH,,,2640,LW,60,CW,30,20,7.4,,0,0,0,0,4866180,3002.3083
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_2867,17961069,1692371,505635,ICH,,,2640,LW,60,CW,30,20,7.4,,0,0,0,0,1182717,3912.0153
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_2868,17961070,1692169,505859,ICH,32.599,43.387276,506,LW,80,FDI,10,100,27.3,308.914,184.026,21.323,11.488,25.762,1663445,168892.5898
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_2869,17961090,1698550,493740,ICH,35.7,12.68064,122,LW,80,FDI,20,90,25.8,88.084,93.746,12.03,7.123,12.191,6018775,346433.2758
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_286a,17961133,1636687,634894,ICH,36.936,48.694992,732,LW,50,FDI,30,120,28.4,316.289,187.211,21.625,11.623,26.252,3858423,188767.3226
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_286b,17961134,1636274,635785,ICH,32.701,54.15678,676,LW,70,FDI,20,110,29,404.129,213.13,24.018,12.673,30.255,816154,119980.2392
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_286c,17961139,1631724,639592,ICH,15.532,3.30132,361,LW,30.1,FDI,29.9,21,8.7,2.892,8.271,1.243,0.883,0.917,3988414,155010.5708
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_286d,17961147,1632736,641456,ICH,45.114,56.490639,597,LW,40.1,HW,39.9,139,33.9,447.584,236.822,26.11,13.571,33.931,4598391,18756.0499
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_286e,17961180,1638962,622426,ICH,16.543,5.97064,638,LW,40,FDI,20,20,9.9,6.279,17.115,2.537,1.773,1.924,3805729,89400.0981
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_286f,17961185,1637853,595134,ICH,41.789,48.76844,686,LW,50.1,HW,49.9,99,28.4,317.518,193.005,22.169,11.864,27.145,5138602,73756.0514
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_2870,17961188,1638350,595145,ICH,42.428,48.71104,661,LW,50,HW,45,99,29.4,327.151,195.31,22.384,11.959,27.5,4749222,51995.8022
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_2871,17961193,1637898,594902,ICH,33.735,43.58392,773,LW,60,HW,40,99,27.1,281.674,177.277,20.678,11.2,24.725,2391766,75949.9535
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_2872,17961194,1638217,594881,ICH,39.373,49.128212,666,LW,60,FDI,20,99,29.4,336.22,192.513,22.123,11.844,27.069,3516577,28866.485
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_2873,17961221,1638800,593777,ICH,,,4280,LW,30,HW,20,20,6.3,,0,0,0,0,3365068,61523.547
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_2874,17961245,1620653,573830,ICH,,,3775,LW,50,FDI,30,18,6.4,,0,0,0,0,4956550,66969.1044
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_2875,17961293,1640442,614463,ICH,24.127,6.40633,200,LW,70,FDI,20,89,24.6,43.169,64.021,8.613,5.37,7.965,5505380,50342.3441
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_2876,17961375,1613264,568615,ICH,,,1326,LW,40,FDI,30,20,5.6,,0,0,0,0,3103970,27983.7002
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_2877,17961467,1625255,484579,ICH,,,1387,LW,60,FDI,24,17,5.6,,0,0,0,0,6042114,20309.9438
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_2878,17961472,1625239,484754,ICH,,,1387,LW,60,FDI,24,17,5.6,,0,0,0,0,2410499,10701.7984
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_2879,17961693,1664556,698115,MS,,,1187,LW,67,PLI,23,9,1.9,,0,0,0,0,611152,27740.3438
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_287a,17961842,1611681,501758,ICH,61.318,69.999794,400,LW,50,FDI,27,138,39,595.468,284.781,30.381,15.467,41.267,1092855,57341.7285
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_287b,17961890,1692219,562270,ICH,36.956,36.081501,323,LW,50,FDI,40,129,26.8,253.219,167.29,19.709,10.763,23.195,6396936,254140.4339
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_287c,17961899,1692562,561628,ICH,54.403,59.999939,400,LW,30.1,SE,29.9,129,37,520.393,253.746,27.549,14.177,36.562,821924,507591.4491
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_287d,17961916,1690897,562731,ICH,,,5320,LW,40.1,PLI,39.9,19,6.6,,0,0,0,0,2335579,81369.0369
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_287e,17961917,1689688,563163,ICH,25.682,18.91617,512,LW,50,AT,35,59,19.8,84.864,94.617,12.127,7.171,12.318,2459498,31747.9847
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_287f,17961920,1689025,563140,ICH,49.198,50.000023,375,LW,70,FDI,15,134,31.9,359.435,204.345,23.219,12.326,28.896,5024328,231683.2988
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_2880,17961922,1689572,563198,ICH,43.511,73.033287,492,LW,100,,,159,34.6,617.468,287.146,30.594,15.565,41.625,5074714,15861.4877
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_2881,17962093,1665852,693712,MS,16.292,9.630489,966,LW,30,PLI,20,23,12.2,16.403,37.073,5.287,3.528,4.345,3003462,102846.5214
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_2882,17962118,1635593,638130,ICH,16.744,5.51582,622,LW,40,SX,30,20,9.9,5.666,16.135,2.397,1.68,1.81,5209847,141012.5273
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_2883,17962132,1650857,565930,ESSF,17.588,8.19781,773,LW,30,FDI,20,23,11.7,12,31.19,4.506,3.054,3.605,6610071,12658.2824
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_2884,17962163,1639431,624829,ICH,41.562,54.923309,655,LW,50,FDI,30,110,31.1,398.714,213.418,24.044,12.685,30.3,4103504,130705.577
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_2885,17962195,1646974,587838,ICH,34.411,35.440559,370,LW,77,FDI,13,119,32.5,296.392,180.58,20.994,11.342,25.232,2922420,15836.4434
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_2886,17962206,1648028,585391,ICH,15.35,1.6017,177,LW,30.1,FDI,29.9,21,7.9,1.082,3.45,0.518,0.368,0.382,3286225,55301.4496
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_2887,17962208,1629558,488651,ICH,,,3200,LW,40.1,PLI,39.9,18,6.1,,0,0,0,0,1185801,32651.5099
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_2888,17962209,1629439,488454,ICH,,,1630,LW,40,PLI,30,19,7.6,,0,0,0,0,1453718,16102.845
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_2889,17962210,1629432,488705,ICH,24.3,9.04722,216,LW,60,FDI,30,88,21.4,55.73,73.408,9.716,5.948,9.279,1182715,12686.4111
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_288a,17962213,1628831,488666,ICH,,,3200,LW,40.1,PLI,39.9,18,6.1,,0,0,0,0,4142142,25996.8375
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_288b,17962214,1629531,488378,ICH,24.3,9.04722,216,LW,60,FDI,30,88,21.4,55.73,73.408,9.716,5.948,9.279,3591383,55149.0787
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_288c,17962215,1629639,488364,ICH,,,1630,LW,40,PLI,30,19,7.6,,0,0,0,0,5601698,13684.7391
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_288d,17962218,1629013,489170,ICH,38.229,52.82312,473,LW,60,PLI,30,108,30.7,441.469,225.022,25.08,13.131,32.099,1560011,173680.5238
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_288e,17962220,1629036,488737,ICH,24.3,9.04722,216,LW,60,FDI,30,88,21.4,55.73,73.408,9.716,5.948,9.279,6454337,197367.9447
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_288f,17962326,1637021,523769,ICH,,,4143,LW,30.1,PLI,29.9,18,6.1,,0,0,0,0,1755222,25610.2179
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_2890,17962328,1637086,524110,ICH,,,4143,LW,30.1,PLI,29.9,18,6.1,,0,0,0,0,6043512,30810.0171
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_2891,17962334,1613776,490772,ICH,38.252,46.943169,421,LW,60,FDI,30,128,31.4,381.962,207.327,23.492,12.445,29.357,5125315,37255.9542
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_2892,17962338,1617588,503856,ICH,,,1351,LW,50,PLI,30,11,3.2,,0,0,0,0,5864466,130601.0116
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_2893,17962339,1617745,504197,ICH,38.106,39.74271,402,LW,79,PLI,10,153,26.9,258.361,169.677,19.942,10.868,23.56,5424699,275015.6602
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_2894,17962340,1618225,503831,ICH,14.674,2.0015,220,LW,60,BL,10,19,8.5,1.549,5.077,0.763,0.542,0.563,5636116,138975.5987
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_2895,17962341,1617952,504309,ICH,46.655,52.969826,493,LW,50,BL,25,148,27.2,318.307,193.554,22.221,11.887,27.229,900969,14217.6631
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_2896,17962344,1618452,503818,ICH,39.101,33.354858,369,LW,54,PLI,32,148,29.5,249.862,166.27,19.609,10.718,23.039,1561306,72988.8598
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_2897,17962347,1634876,598265,ICH,32.676,54.878601,824,LW,60,FDI,30,99,26.1,339.579,193.092,22.177,11.868,27.158,961918,44830.953
